Invoice_ID,Branch,City,Product_line,Unit_price,Quantity,Tax_5,Total_price,Order_date,Order_time,Payment_method,costs,gross_income,Rating
101-17-6199,A,Plymouth,Food and beverages,45.79,7,16.03,336.56,2023-03-13,19:44:00,Credit card,320.53,16.03,7.00
101-81-4070,C,Glasgow,Health and beauty,62.82,2,6.28,131.92,2023-01-17,12:36:00,Ewallet,125.64,6.28,4.90
102-06-2002,C,Glasgow,Sports and travel,25.25,5,6.31,132.56,2023-03-20,17:52:00,Cash,126.25,6.31,6.10
102-77-2261,C,Glasgow,Health and beauty,65.31,7,22.86,480.03,2023-03-05,18:02:00,Credit card,457.17,22.86,4.20
105-10-6182,A,Plymouth,Fashion accessories,21.48,2,2.15,45.11,2023-02-27,12:22:00,Ewallet,42.96,2.15,6.60
105-31-1824,A,Plymouth,Sports and travel,69.52,7,24.33,510.97,2023-02-01,15:10:00,Credit card,486.64,24.33,8.50
106-35-6779,A,Plymouth,Home and lifestyle,44.34,2,4.43,93.11,2023-03-27,11:26:00,Cash,88.68,4.43,5.80
109-28-2512,B,Bristol,Fashion accessories,97.61,6,29.28,614.94,2023-01-07,15:01:00,Ewallet,585.66,29.28,9.90
109-86-4363,B,Bristol,Sports and travel,60.08,7,21.03,441.59,2023-02-14,11:36:00,Credit card,420.56,21.03,4.50
110-05-6330,C,Glasgow,Food and beverages,39.43,6,11.83,248.41,2023-03-25,20:18:00,Credit card,236.58,11.83,9.40
110-48-7033,B,Bristol,Fashion accessories,32.62,4,6.52,137.00,2023-01-29,14:12:00,Cash,130.48,6.52,9.00
114-35-5271,B,Bristol,Electronic accessories,57.91,8,23.16,486.44,2023-02-07,15:06:00,Cash,463.28,23.16,8.10
115-38-7388,C,Glasgow,Fashion accessories,10.18,8,4.07,85.51,2023-03-30,12:51:00,Credit card,81.44,4.07,9.50
115-99-4379,B,Bristol,Fashion accessories,54.73,7,19.16,402.27,2023-03-14,19:02:00,Credit card,383.11,19.16,8.50
118-62-1812,C,Glasgow,Home and lifestyle,78.38,4,15.68,329.20,2023-03-24,17:56:00,Cash,313.52,15.68,7.90
120-06-4233,C,Glasgow,Electronic accessories,30.61,6,9.18,192.84,2023-03-12,20:36:00,Cash,183.66,9.18,9.30
120-54-2248,B,Bristol,Food and beverages,28.86,5,7.22,151.51,2023-01-22,18:08:00,Credit card,144.30,7.22,8.00
122-61-9553,C,Glasgow,Electronic accessories,51.32,9,23.09,484.97,2023-03-14,19:33:00,Cash,461.88,23.09,5.60
123-19-1176,A,Plymouth,Health and beauty,58.22,8,23.29,489.05,2023-01-27,20:33:00,Ewallet,465.76,23.29,8.40
123-35-4896,C,Glasgow,Sports and travel,46.66,9,21.00,440.94,2023-02-17,19:11:00,Ewallet,419.94,21.00,5.30
124-31-1458,A,Plymouth,Electronic accessories,79.59,3,11.94,250.71,2023-01-08,14:30:00,Cash,238.77,11.94,6.60
125-45-2293,A,Plymouth,Fashion accessories,99.10,6,29.73,624.33,2023-01-19,13:11:00,Cash,594.60,29.73,4.20
126-54-1082,A,Plymouth,Home and lifestyle,21.54,9,9.69,203.55,2023-01-07,11:44:00,Credit card,193.86,9.69,8.80
127-47-6963,A,Plymouth,Health and beauty,51.71,4,10.34,217.18,2023-03-09,13:53:00,Credit card,206.84,10.34,9.80
129-29-8530,A,Plymouth,Sports and travel,62.62,5,15.65,328.76,2023-03-10,19:15:00,Ewallet,313.10,15.65,7.00
130-67-4723,A,Plymouth,Food and beverages,48.50,6,14.55,305.55,2023-01-11,13:57:00,Ewallet,291.00,14.55,9.40
130-98-8941,C,Glasgow,Fashion accessories,64.26,7,22.49,472.31,2023-02-09,10:00:00,Cash,449.82,22.49,5.70
131-15-8856,C,Glasgow,Food and beverages,72.52,8,29.01,609.17,2023-03-30,19:26:00,Credit card,580.16,29.01,4.00
131-70-8179,A,Plymouth,Health and beauty,92.09,3,13.81,290.08,2023-02-17,16:27:00,Cash,276.27,13.81,4.20
132-23-6451,A,Plymouth,Health and beauty,20.97,5,5.24,110.09,2023-01-04,13:21:00,Cash,104.85,5.24,7.80
132-32-9879,B,Bristol,Electronic accessories,93.96,4,18.79,394.63,2023-03-09,18:00:00,Cash,375.84,18.79,9.50
